tool,version,url,sha256
fastp,1.3.2,https://github.com/OpenGene/fastp/archive/refs/tags/v1.3.2.tar.gz,0c98acc55aa9771d854775db09cbf4c8fd1477d0b3dd3f3b08eebae0da0533db
fastqc,0.12.1,https://www.bioinformatics.babraham.ac.uk/projects/fastqc/fastqc_v0.12.1.zip,5f4dba8780231a25a6b8e11ab2c238601920c9704caa5458d9de559575d58aa7
mosdepth,0.3.9,https://github.com/brentp/mosdepth/releases/download/v0.3.9/mosdepth,ad94aa2bd199c6fd103821d00566765d611f2a4741ce44c5ab723d3b800b911b
multiqc,1.21,https://github.com/MultiQC/MultiQC/archive/v1.21.tar.gz,c0e4887598628567b8fb1539445cf7b34a7ac6a8db2e52e10cc42cfa8e2202e2
bwa,0.7.17,https://github.com/lh3/bwa/archive/refs/tags/v0.7.17.tar.gz,980b9591b61c60042c4a39b9e31ccaad8d17ff179d44d347997825da3fdf47fd
dragmap,1.3.0,https://github.com/Illumina/DRAGMAP/archive/refs/tags/1.3.0.tar.gz,baf546c2f53b13e2bce4c937201e38459f3ce2f1069722ca670d8726a4bae224
samtools,1.20,https://github.com/samtools/samtools/releases/download/1.20/samtools-1.20.tar.bz2,c71be865e241613c2ca99679c074f1a0daeb55288af577db945bdabe3eb2cf10
htslib,1.20,https://github.com/samtools/htslib/releases/download/1.20/htslib-1.20.tar.bz2,e52d95b14da68e0cfd7d27faf56fef2f88c2eaf32a2be51c72e146e3aa928544
gatk,4.4.0.0,https://github.com/broadinstitute/gatk/releases/download/4.4.0.0/gatk-4.4.0.0.zip,444600f7b38b46ad0b3606b7d40ce921e0ff1910a50165872f1c73c7c4a1a390
hapy,0.3.14,https://github.com/Illumina/hap.py/archive/refs/tags/v0.3.14.tar.gz,168d76674e630a02f4d2bf316b32812d631299c8718862097ba3266c9e14f499
